,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
2852,Apartment,Private room,Real Bed,2,1125,moderate,3/8/2019 5:00,3/8/2019 5:00,2,1,1,16,1,55,0,1
2853,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,3/8/2019 5:00,3/8/2019 5:00,4,1,2,0,1,90,20,2
2854,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,2,1,1,40,1,47,0,1
2855,Apartment,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,3/11/2019 4:00,3/11/2019 4:00,3,1,2,26,1,989,50,2
2856,Apartment,Entire home/apt,Real Bed,2,28,flexible,3/7/2019 5:00,3/7/2019 5:00,2,1,1,47,1,85,0,2
2857,Condominium,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,5,2,3,12,2,159,50,4
2858,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,4,1,3,8,1,200,0,1
2859,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2/11/2019 5:00,2/11/2019 5:00,4,1,1,0,1,168,40,2
2860,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2/16/2019 5:00,2/16/2019 5:00,8,2,4,15,2,150,5,4
2861,House,Entire home/apt,Real Bed,3,1124,strict_14_with_grace_period,3/6/2019 5:00,3/6/2019 5:00,14,4,7,8,3.5,675,0,1
2862,Condominium,Private room,Real Bed,1,1125,flexible,2/18/2019 5:00,2/18/2019 5:00,2,2,2,1,1,301,0,1
2863,Apartment,Entire home/apt,Real Bed,1,1125,flexible,3/11/2019 4:00,3/11/2019 4:00,2,0,1,8,1,699,542,2
2864,Apartment,Entire home/apt,Real Bed,2,12,strict_14_with_grace_period,3/7/2019 5:00,3/7/2019 5:00,3,1,1,74,1,250,50,2
2865,Townhouse,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,6,2,3,304,2,48,10,2
2866,Apartment,Entire home/apt,Real Bed,3,1003,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,6,3,4,7,3,90,0,1
2867,Townhouse,Private room,Real Bed,1,30,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,2,1,1,25,1.5,15,11,1
2868,Townhouse,Private room,Real Bed,1,30,strict_14_with_grace_period,2/16/2019 5:00,2/16/2019 5:00,2,1,1,8,1.5,15,11,1
